activenergy,temp,RATE-LABEL
940,2000,4.91E-32
940,2100,6.16E-31
940,2200,6.09E-30
940,2300,4.91E-29
940,2400,3.30E-28
940,2500,1.90E-27
940,2600,9.48E-27
940,2700,4.18E-26
940,2800,1.65E-25
940,2900,5.92E-25
940,3000,1.94E-24
940,3100,5.86E-24
940,3200,1.65E-23
940,3300,4.34E-23
940,3400,1.08E-22
940,3500,2.53E-22
940,3600,5.65E-22
940,3700,1.20E-21
940,3800,2.46E-21
940,3900,4.84E-21
940,4000,9.19E-21
940,4100,1.69E-20
940,4200,3.00E-20
940,4300,5.19E-20
940,4400,8.74E-20
940,4500,1.43E-19
940,4600,2.30E-19
940,4700,3.62E-19
940,4800,5.56E-19
940,4900,8.40E-19
940,5000,1.25E-18
940,5100,1.82E-18
940,5200,2.61E-18
940,5300,3.69E-18
940,5400,5.15E-18
940,5500,7.09E-18
940,5600,9.63E-18
940,5700,1.29E-17
940,5800,1.72E-17
940,5900,2.26E-17
940,6000,2.94E-17
940,6100,3.79E-17
940,6200,4.84E-17
940,6300,6.13E-17
940,6400,7.70E-17
940,6500,9.60E-17
940,6600,1.19E-16
940,6700,1.46E-16
940,6800,1.78E-16
940,6900,2.16E-16
940,7000,2.60E-16
940,7100,3.11E-16
940,7200,3.70E-16
940,7300,4.39E-16
940,7400,5.17E-16
940,7500,6.06E-16
494,2000,9.29E-21
494,2100,3.64E-20
494,2200,1.26E-19
494,2300,3.89E-19
494,2400,1.09E-18
494,2500,2.83E-18
494,2600,6.78E-18
494,2700,1.52E-17
494,2800,3.22E-17
494,2900,6.46E-17
494,3000,1.24E-16
494,3100,2.27E-16
494,3200,4.00E-16
494,3300,6.81E-16
494,3400,1.12E-15
494,3500,1.80E-15
494,3600,2.80E-15
494,3700,4.25E-15
494,3800,6.32E-15
494,3900,9.19E-15
494,4000,1.31E-14
494,4100,1.84E-14
494,4200,2.53E-14
494,4300,3.44E-14
494,4400,4.60E-14
494,4500,6.07E-14
494,4600,7.91E-14
494,4700,1.02E-13
494,4800,1.30E-13
494,4900,1.64E-13
494,5000,2.05E-13
494,5100,2.53E-13
494,5200,3.11E-13
494,5300,3.78E-13
494,5400,4.57E-13
494,5500,5.48E-13
494,5600,6.53E-13
494,5700,7.72E-13
494,5800,9.08E-13
494,5900,1.06E-12
494,6000,1.24E-12
494,6100,1.43E-12
494,6200,1.65E-12
494,6300,1.89E-12
494,6400,2.15E-12
494,6500,2.44E-12
494,6600,2.76E-12
494,6700,3.11E-12
494,6800,3.50E-12
494,6900,3.91E-12
494,7000,4.36E-12
494,7100,4.84E-12
494,7200,5.36E-12
494,7300,5.92E-12
494,7400,6.52E-12
494,7500,7.16E-12
437,2000,2.66E-20
437,2100,8.98E-20
437,2200,2.71E-19
437,2300,7.43E-19
437,2400,1.87E-18
437,2500,4.36E-18
437,2600,9.52E-18
437,2700,1.96E-17
437,2800,3.83E-17
437,2900,7.14E-17
437,3000,1.28E-16
437,3100,2.19E-16
437,3200,3.65E-16
437,3300,5.87E-16
437,3400,9.18E-16
437,3500,1.40E-15
437,3600,2.08E-15
437,3700,3.03E-15
437,3800,4.32E-15
437,3900,6.05E-15
437,4000,8.33E-15
437,4100,1.13E-14
437,4200,1.51E-14
437,4300,1.98E-14
437,4400,2.57E-14
437,4500,3.30E-14
437,4600,4.19E-14
437,4700,5.27E-14
437,4800,6.55E-14
437,4900,8.07E-14
437,5000,9.87E-14
437,5100,1.20E-13
437,5200,1.44E-13
437,5300,1.72E-13
437,5400,2.04E-13
437,5500,2.40E-13
437,5600,2.81E-13
437,5700,3.27E-13
437,5800,3.79E-13
437,5900,4.37E-13
437,6000,5.01E-13
437,6100,5.71E-13
437,6200,6.49E-13
437,6300,7.34E-13
437,6400,8.27E-13
437,6500,9.29E-13
437,6600,1.04E-12
437,6700,1.16E-12
437,6800,1.29E-12
437,6900,1.42E-12
437,7000,1.57E-12
437,7100,1.73E-12
437,7200,1.90E-12
437,7300,2.08E-12
437,7400,2.27E-12
437,7500,2.47E-12
435,2000,2.42E-21
435,2100,8.60E-21
435,2200,2.73E-20
435,2300,7.86E-20
435,2400,2.07E-19
435,2500,5.05E-19
435,2600,1.15E-18
435,2700,2.48E-18
435,2800,5.04E-18
435,2900,9.76E-18
435,3000,1.81E-17
435,3100,3.23E-17
435,3200,5.56E-17
435,3300,9.27E-17
435,3400,1.50E-16
435,3500,2.36E-16
435,3600,3.63E-16
435,3700,5.45E-16
435,3800,8.01E-16
435,3900,1.16E-15
435,4000,1.64E-15
435,4100,2.28E-15
435,4200,3.13E-15
435,4300,4.23E-15
435,4400,5.64E-15
435,4500,7.42E-15
435,4600,9.67E-15
435,4700,1.24E-14
435,4800,1.59E-14
435,4900,2.00E-14
435,5000,2.50E-14
435,5100,3.10E-14
435,5200,3.82E-14
435,5300,4.66E-14
435,5400,5.65E-14
435,5500,6.80E-14
435,5600,8.13E-14
435,5700,9.66E-14
435,5800,1.14E-13
435,5900,1.34E-13
435,6000,1.57E-13
435,6100,1.82E-13
435,6200,2.11E-13
435,6300,2.43E-13
435,6400,2.79E-13
435,6500,3.19E-13
435,6600,3.63E-13
435,6700,4.12E-13
435,6800,4.66E-13
435,6900,5.24E-13
435,7000,5.89E-13
435,7100,6.59E-13
435,7200,7.35E-13
435,7300,8.17E-13
435,7400,9.07E-13
435,7500,1.00E-12
